[	INFO]	[1534924438.431211953]:	W_	x	=	10.833938				3.326082
[	INFO]	[1534924438.531196119]:	W_	x	=	10.813424				3.367109
[INFO]	[1534924438.590762]:	required_linear_vel1	:	0.250000,	millis():	10.772398				3.387622
[INFO]	[1534924438.599666]:	ML_rpm2	:	37,	MR_rpm:	10.751884				3.408135
[	INFO]	[1534924438.631335130]:	W_	x	=	10.731371				3.42865
[	INFO]	[1534924438.731319817]:	W_	x	=	10.710857				3.449162
[	INFO]	[1534924438.831399713]:	W_	x	=	10.690344				3.469675
[	INFO]	[1534924438.931334921]:	W_	x	=	10.669829				3.490189
[	INFO]	[1534924439.031338567]:	W_	x	=	10.649317				3.531215
[	INFO]	[1534924439.131320963]:	W_	x	=	10.608295				3.551728
[	INFO]	[1534924439.231197890]:	W_	x	=	10.587797				3.572242
[	INFO]	[1534924439.331331692]:	W_	x	=	10.567299				3.592769
[	INFO]	[1534924439.431209400]:	W_	x	=	10.5468				3.613283
[	INFO]	[1534924439.531206640]:	W_	x	=	10.526273				3.633802
[INFO]	[1534924439.606711]:	required_linear_vel1	:	0.250000,	millis():	10.505754				3.65432
[INFO]	[1534924439.615735]:	ML_rpm2	:	37,	MR_rpm:	10.485244				3.695341
[	INFO]	[1534924439.631207890]:	W_	x	=	10.444218				3.715857
[	INFO]	[1534924439.731207421]:	W_	x	=	10.423705				3.736368
[	INFO]	[1534924439.831209973]:	W_	x	=	10.403191				3.756883
[	INFO]	[1534924439.931126535]:	W_	x	=	10.382677				3.777397
[	INFO]	[1534924440.031212785]:	W_	x	=	10.362169				3.797909
[	INFO]	[1534924440.131206639]:	W_	x	=	10.341653				3.818421
[	INFO]	[1534924440.231207577]:	W_	x	=	10.321136				3.859434
[	INFO]	[1534924440.331202369]:	W_	x	=	10.300617				3.879947
[	INFO]	[1534924440.431202681]:	W_	x	=	10.280103				3.900461
[	INFO]	[1534924440.531184296]:	W_	x	=	10.25959				3.920965
[WARN]	[1534924440.538838]:	The	voltage	is	lower	10.239076	11.3V,Please	charge!		3.941477
[INFO]	[1534924440.624107]:	required_linear_vel1	:	0.250000,	millis():	10.218561				3.961991
[	INFO]	[1534924440.631173462]:	W_	x	=	10.198057				3.982513
[INFO]	[1534924440.633311]:	ML_rpm2	:	37,	MR_rpm:	10.157032				4.003026
[	INFO]	[1534924440.731200546]:	W_	x	=	10.13652				4.023555
[	INFO]	[1534924440.831155910]:	W_	x	=	10.116009				4.044053
[	INFO]	[1534924440.931202941]:	W_	x	=	10.095493				4.064567
[	INFO]	[1534924441.031200181]:	W_	x	=	10.074999				4.085084
[	INFO]	[1534924441.131208045]:	W_	x	=	10.054471				4.105601
[	INFO]	[1534924441.231131170]:	W_	x	=	10.033964				4.146624
[	INFO]	[1534924441.331206535]:	W_	x	=	9.992937				4.167136
[	INFO]	[1534924441.431209920]:	W_	x	=	9.972427				4.187649
[	INFO]	[1534924441.531206743]:	W_	x	=	9.951917				4.208166
[	INFO]	[1534924441.631215024]:	W_	x	=	9.931397				4.228677
[INFO]	[1534924441.642473]:	required_linear_vel1	:	0.250000,	millis():	9.910885				4.249191
[INFO]	[1534924441.649461]:	ML_rpm2	:	37,	MR_rpm:	9.890375				4.269704
[	INFO]	[1534924441.731206691]:	W_	x	=	9.869856				4.310731
[	INFO]	[1534924441.831208826]:	W_	x	=	9.828829				4.331246
[	INFO]	[1534924441.931130805]:	W_	x	=	9.808316				4.351758
[	INFO]	[1534924442.031207003]:	W_	x	=	9.787803				4.37227
[	INFO]	[1534924442.131205493]:	W_	x	=	9.767294				4.392783
[	INFO]	[1534924442.231207993]:	W_	x	=	9.746778				4.413295
[	INFO]	[1534924442.331321482]:	W_	x	=	9.726266				4.454316
[	INFO]	[1534924442.431326691]:	W_	x	=	9.705756				4.474839
[	INFO]	[1534924442.531358826]:	W_	x	=	9.664744				4.49535
[	INFO]	[1534924442.631208982]:	W_	x	=	9.644233				4.515864
[INFO]	[1534924442.658571]:	required_linear_vel1	:	0.250000,	millis():	9.623721				4.536377
[INFO]	[1534924442.667474]:	ML_rpm2	:	37,	MR_rpm:	9.603206				4.556901
[	INFO]	[1534924442.731326222]:	W_	x	=	9.582691				4.577424
[	INFO]	[1534924442.831333513]:	W_	x	=	9.562177				4.618432
[	INFO]	[1534924442.931326326]:	W_	x	=	9.541662				4.638945
[	INFO]	[1534924443.031335961]:	W_	x	=	9.521146				4.659459
[	INFO]	[1534924443.131337680]:	W_	x	=	9.500619				4.679971
[	INFO]	[1534924443.231332367]:	W_	x	=	9.480121				4.700484
[	INFO]	[1534924443.331135180]:	W_	x	=	9.459613				4.720996
[	INFO]	[1534924443.431215024]:	W_	x	=	9.439092				4.741519
[	INFO]	[1534924443.531214086]:	W_	x	=	9.418583				4.762046
[	INFO]	[1534924443.631208149]:	W_	x	=	9.377558				4.782559
[INFO]	[1534924443.675396]:	required_linear_vel1	:	0.250000,	millis():	9.357044				4.803072
[INFO]	[1534924443.686875]:	ML_rpm2	:	37,	MR_rpm:	9.33653				4.823586
[	INFO]	[1534924443.731209034]:	W_	x	=	9.316016				4.844101
[	INFO]	[1534924443.831203461]:	W_	x	=	9.295486				4.864615
