obstacle_x 1.85617 obstacle_y -0.022763  x = 0.460794 y = 0.0188554
obstacle_x 1.71178 obstacle_y 0.0252224  x = 0.460794 y = 0.0188554
obstacle_x 1.71348 obstacle_y 0.0470992  x = 0.460794 y = 0.0188554
obstacle_x 1.71379 obstacle_y 0.0689972  x = 0.460794 y = 0.0188554
obstacle_x 1.71472 obstacle_y 0.0909722  x = 0.460794 y = 0.0188554
obstacle_x 1.71427 obstacle_y 0.11292  x = 0.460794 y = 0.0188554
obstacle_x 1.71642 obstacle_y 0.135151  x = 0.460794 y = 0.0188554
obstacle_x 1.71619 obstacle_y 0.157266  x = 0.460794 y = 0.0188554
obstacle_x 1.70465 obstacle_y 0.178012  x = 0.460794 y = 0.0188554
obstacle_x 1.8258 obstacle_y 0.550819  x = 0.460794 y = 0.0188554
obstacle_x 1.79503 obstacle_y 0.565836  x = 0.460794 y = 0.0188554
obstacle_x 1.7816 obstacle_y 0.587456  x = 0.460794 y = 0.0188554
obstacle_x 1.78059 obstacle_y 0.614535  x = 0.460794 y = 0.0188554
obstacle_x 1.77361 obstacle_y 0.639187  x = 0.460794 y = 0.0188554
obstacle_x 1.77155 obstacle_y 0.666434  x = 0.460794 y = 0.0188554
obstacle_x 1.76449 obstacle_y 0.691503  x = 0.460794 y = 0.0188554
obstacle_x 1.76576 obstacle_y 0.721263  x = 0.460794 y = 0.0188554
obstacle_x 1.75156 obstacle_y 0.742952  x = 0.460794 y = 0.0188554
else R = 7.4061
obstacle_x 1.87223 obstacle_y -0.0334162  x = 0.477213 y = 0.018939
obstacle_x 1.72296 obstacle_y -0.00605314  x = 0.477213 y = 0.018939
obstacle_x 1.73008 obstacle_y 0.037542  x = 0.477213 y = 0.018939
obstacle_x 1.73056 obstacle_y 0.0594369  x = 0.477213 y = 0.018939
obstacle_x 1.73166 obstacle_y 0.0814041  x = 0.477213 y = 0.018939
obstacle_x 1.73138 obstacle_y 0.103355  x = 0.477213 y = 0.018939
obstacle_x 1.7337 obstacle_y 0.125568  x = 0.477213 y = 0.018939
obstacle_x 1.73363 obstacle_y 0.147685  x = 0.477213 y = 0.018939
obstacle_x 1.72226 obstacle_y 0.168519  x = 0.477213 y = 0.018939
obstacle_x 1.84627 obstacle_y 0.540382  x = 0.477213 y = 0.018939
obstacle_x 1.81562 obstacle_y 0.555636  x = 0.477213 y = 0.018939
obstacle_x 1.80236 obstacle_y 0.577359  x = 0.477213 y = 0.018939
obstacle_x 1.80156 obstacle_y 0.604444  x = 0.477213 y = 0.018939
obstacle_x 1.79477 obstacle_y 0.629149  x = 0.477213 y = 0.018939
obstacle_x 1.79292 obstacle_y 0.656411  x = 0.477213 y = 0.018939
obstacle_x 1.78605 obstacle_y 0.681535  x = 0.477213 y = 0.018939
obstacle_x 1.78755 obstacle_y 0.711284  x = 0.477213 y = 0.018939
obstacle_x 1.77352 obstacle_y 0.733082  x = 0.477213 y = 0.018939
else R = 7.39651
obstacle_x 1.8502 obstacle_y -0.0148618  x = 0.493623 y = 0.0188962
obstacle_x 1.71656 obstacle_y 0.0311591  x = 0.493623 y = 0.0188962
obstacle_x 1.72016 obstacle_y 0.0526104  x = 0.493623 y = 0.0188962
obstacle_x 1.72338 obstacle_y 0.0741909  x = 0.493623 y = 0.0188962
obstacle_x 1.71923 obstacle_y 0.0954577  x = 0.493623 y = 0.0188962
obstacle_x 1.7227 obstacle_y 0.117235  x = 0.493623 y = 0.0188962
obstacle_x 1.72079 obstacle_y 0.13867  x = 0.493623 y = 0.0188962
obstacle_x 1.71653 obstacle_y 0.15984  x = 0.493623 y = 0.0188962
obstacle_x 1.81129 obstacle_y 0.566699  x = 0.493623 y = 0.0188962
obstacle_x 1.78961 obstacle_y 0.584413  x = 0.493623 y = 0.0188962
obstacle_x 1.78773 obstacle_y 0.610688  x = 0.493623 y = 0.0188962
obstacle_x 1.78352 obstacle_y 0.636205  x = 0.493623 y = 0.0188962
